Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
6 Apr 2020 ; Amazon FX Rate £1 = €1.1296 ; 37.86 ;  ;  EUR 42.76 ;  ; 284.68; Shopping; 
2 Apr 2020 ; Amazon FX Rate £1 = €1.1286 ; 20.76 ;  ;  EUR 23.42 ;  ; 215.84; Shopping; 
1 Apr 2020 ; Amazon FX Rate £1 = €1.1146 ; 7.82 ;  ;  EUR 8.71 ;  ; 101.51; Shopping; 
30 Mar 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 109.33; Shopping; 
30 Mar 2020 ; Itunes  ; 4.99 ;  ;  ;  ; 117.32; Shopping; 
29 Mar 2020 ; Amazon FX Rate £1 = €1.1007 ; 39.97 ;  ;  EUR 43.99 ;  ; 122.31; Shopping; 
27 Mar 2020 ; Experian Uk  ; 14.99 ;  ;  ;  ; 162.28; General; 
27 Mar 2020 ; Amazon FX Rate £1 = €1.0899 ; 45.87 ;  ;  EUR 49.99 ;  ; 177.27; Shopping; 
26 Mar 2020 ; Amazon FX Rate £1 = €1.0914 ; 15.47 ;  ;  EUR 16.88 ;  ; 223.14; Shopping; 
26 Mar 2020 ; Refund from etsy.com  ;  ; 135.23 ;  ;  ; 238.61; Shopping; 
23 Mar 2020 ; Itunes  ; 4.99 ;  ;  ;  ; 103.38; Shopping; 
23 Mar 2020 ; Amazon  ; 1.49 ;  ;  ;  ; 108.37; Shopping; 
23 Mar 2020 ; Amazon  ; 1.99 ;  ;  ;  ; 109.86; Shopping; 
23 Mar 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 111.85; Shopping; 
20 Mar 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 125.84; Shopping; 
20 Mar 2020 ; Amazon FX Rate £1 = €1.0630 ; 44.93 ;  ;  EUR 47.76 ;  ; 133.83; Shopping; 
19 Mar 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 178.76; Shopping; 
19 Mar 2020 ; Etsy FX Rate £1 = US$1.1576 ; 135.23 ;  ;  USD 156.54 ;  ; 179.55; Shopping; 
19 Mar 2020 ; Amazon  ; 7.74 ;  ;  ;  ; 314.78; Shopping; 
19 Mar 2020 ; Amazon FX Rate £1 = €1.0977 ; 28.62 ;  ;  EUR 31.41 ;  ; 322.52; Shopping; 
18 Mar 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 351.14; General; 
18 Mar 2020 ; Amazon  ; 2.99 ;  ;  ;  ; 151.14; Shopping; 
17 Mar 2020 ; Itunes  ; 11.99 ;  ;  ;  ; 154.13; Shopping; 
17 Mar 2020 ; Amazon  ; 2.99 ;  ;  ;  ; 166.12; Shopping; 
16 Mar 2020 ; Amazon FX Rate £1 = €1.0973 ; 40.99 ;  ;  EUR 44.98 ;  ; 169.11; Shopping; 
16 Mar 2020 ; Amazon  ; 7.48 ;  ;  ;  ; 210.10; Shopping; 
16 Mar 2020 ; ALDI FX Rate £1 = €1.0973 ; 38.58 ;  ;  EUR 42.33 ;  ; 217.58; Groceries; 
15 Mar 2020 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 256.16; General; 
14 Mar 2020 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 156.16; General; 
13 Mar 2020 ; Cedipsa 040481 Asa San FX Rate £1 = €1.1350 ; 44.29 ;  ;  EUR 50.26 ;  ; 56.16; Transport; 
13 Mar 2020 ; Detalle Marbella FX Rate £1 = €1.1335 ; 8.03 ;  ;  EUR 9.10 ;  ; 100.45; Groceries; 
13 Mar 2020 ; Reebok Hybrid FX Rate £1 = €1.1340 ; 6.62 ;  ;  EUR 7.50 ;  ; 108.48; Health; 
12 Mar 2020 ; Inmobiliar Milgis FX Rate £1 = €1.1401 ; 6.50 ;  ;  EUR 7.40 ;  ; 115.10; Transport; 
12 Mar 2020 ; Amazon FX Rate £1 = €1.1398 ; 24.27 ;  ;  EUR 27.66 ;  ; 121.60; Shopping; 
