Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
2 Nov 2020 ; sanebox Inc. FX Rate £1 = $1.2821 ; 5.46 ;  ;  USD 7.00 ;  ; 301.23; Shopping; 
31 Oct 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 306.69; General; 
30 Oct 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 106.69; Shopping; 
29 Oct 2020 ; Chiringuito "PACO" FX Rate £1 = €1.1039 ; 38.05 ;  ;  EUR 42.00 ;  ; 114.68; Restaurants; 
29 Oct 2020 ; Playa de la Rada FX Rate £1 = €1.1033 ; 40.79 ;  ;  EUR 45.00 ;  ; 152.73; Transport; 
29 Oct 2020 ; itunes.com/bill  ; 4.99 ;  ;  ;  ; 193.52; Shopping; 
28 Oct 2020 ; Amazon FX Rate £1 = €1.1028 ; 158.95 ;  ;  EUR 175.29 ;  ; 198.51; Shopping; 
28 Oct 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 357.46; General; 
27 Oct 2020 ; Gym junkie FX Rate £1 = €1.1048 ; 5.44 ;  ;  EUR 6.00 ;  ; 372.45; Restaurants; 
27 Oct 2020 ; Rest Pizzeria Canela FX Rate £1 = €1.1015 ; 23.61 ;  ;  EUR 26.00 ;  ; 377.89; Restaurants; 
27 Oct 2020 ; Autopista del Sol FX Rate £1 = €1.0884 ; 1.89 ;  ;  EUR 2.05 ;  ; 401.50; Transport; 
26 Oct 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 403.39; General; 
26 Oct 2020 ; Three  ; 20.00 ;  ;  ;  ; 203.39; Services; 
25 Oct 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 223.39; General; 
24 Oct 2020 ; Gpv Benahavis FX Rate £1 = €1.1026 ; 8.56 ;  ;  EUR 9.43 ;  ; 23.39; Transport; 
24 Oct 2020 ; Reebok Hybrid FX Rate £1 = €1.1057 ; 5.43 ;  ;  EUR 6.00 ;  ; 31.95; Health; 
20 Oct 2020 ; Reebok Hybrid FX Rate £1 = €1.1019 ; 5.45 ;  ;  EUR 6.00 ;  ; 37.38; Health; 
19 Oct 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 42.83; Shopping; 
19 Oct 2020 ; Amazon FX Rate £1 = €1.0902 ; 18.83 ;  ;  EUR 20.52 ;  ; 43.62; Shopping; 
19 Oct 2020 ; South Cafe FX Rate £1 = €1.0902 ; 57.79 ;  ;  EUR 63.00 ;  ; 62.45; Restaurants; 
18 Oct 2020 ; Banus Marina Mall FX Rate £1 = €1.0902 ; 31.14 ;  ;  EUR 33.95 ;  ; 120.24; Shopping; 
18 Oct 2020 ; Gym junkie FX Rate £1 = €1.0902 ; 8.26 ;  ;  EUR 9.00 ;  ; 151.38; Restaurants; 
18 Oct 2020 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.0902 ; 25.50 ;  ;  EUR 27.80 ;  ; 159.64; Restaurants; 
18 Oct 2020 ; Parking CC Marina Banús FX Rate £1 = €1.0902 ; 4.50 ;  ;  EUR 4.90 ;  ; 185.14; Transport; 
18 Oct 2020 ; El Corte Ingles Marbella FX Rate £1 = €1.0902 ; 96.17 ;  ;  EUR 104.85 ;  ; 189.64; Shopping; 
18 Oct 2020 ; El Corte Ingles Marbella FX Rate £1 = €1.0902 ; 27.47 ;  ;  EUR 29.95 ;  ; 285.81; Shopping; 
17 Oct 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 313.28; General; 
15 Oct 2020 ; Gym junkie FX Rate £1 = €1.0979 ; 5.47 ;  ;  EUR 6.00 ;  ; 113.28; Restaurants; 
15 Oct 2020 ; Diana-costaspine FX Rate £1 = €1.1040 ; 36.24 ;  ;  EUR 40.00 ;  ; 118.75; Health; 
14 Oct 2020 ; Hustle n' Flow Eatery FX Rate £1 = €1.1064 ; 37.06 ;  ;  EUR 41.00 ;  ; 154.99; Restaurants; 
13 Oct 2020 ; Amazon FX Rate £1 = €1.1055 ; 41.59 ;  ;  EUR 45.98 ;  ; 192.05; Shopping; 
13 Oct 2020 ; Gym junkie FX Rate £1 = €1.1036 ; 46.22 ;  ;  EUR 51.00 ;  ; 233.64; Restaurants; 
13 Oct 2020 ; Overseas Guadalmina FX Rate £1 = €1.1031 ; 4.08 ;  ;  EUR 4.50 ;  ; 279.86; Groceries; 
12 Oct 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 283.94; General; 
12 Oct 2020 ; Sumup  *hustle Everyday FX Rate £1 = €1.0913 ; 7.79 ;  ;  EUR 8.50 ;  ; 83.94; Restaurants; 
11 Oct 2020 ; Reebok Hybrid FX Rate £1 = €1.0913 ; 5.50 ;  ;  EUR 6.00 ;  ; 91.73; Health; 
11 Oct 2020 ; E.s. Calypso FX Rate £1 = €1.0913 ; 41.24 ;  ;  EUR 45.00 ;  ; 97.23; Transport; 
11 Oct 2020 ; Gpv Benahavis FX Rate £1 = €1.0913 ; 13.92 ;  ;  EUR 15.19 ;  ; 138.47; Transport; 
9 Oct 2020 ; Exchange GBP to  FX Rate £1 = €1.0992 ; 31.84 ;  ;  GBP 31.84 ;  ; 152.39; General; 
9 Oct 2020 ; Amazon Prime  ; 7.99 ;  ;  ;  ; 184.23; Shopping; 
9 Oct 2020 ; Diana-costaspine FX Rate £1 = €1.0936 ; 36.58 ;  ;  EUR 40.00 ;  ; 192.22; Health; 
9 Oct 2020 ; La Bodega del Mar FX Rate £1 = €1.0990 ; 55.87 ;  ;  EUR 61.40 ;  ; 228.80; Health; 
9 Oct 2020 ; Premium plan fee  ; 72.00 ;  ;  ;  ; 284.67; General; 
8 Oct 2020 ; Talleres San Pedro FX Rate £1 = €1.0982 ; 91.06 ;  ;  EUR 100.00 ;  ; 356.67; Transport; 
8 Oct 2020 ; Restaurante las Olas Beach FX Rate £1 = €1.1005 ; 93.59 ;  ;  EUR 103.00 ;  ; 447.73; Restaurants; 
8 Oct 2020 ; Parking Gourmet FX Rate £1 = €1.1022 ; 4.81 ;  ;  EUR 5.30 ;  ; 541.32; Transport; 
8 Oct 2020 ; The Bookshop FX Rate £1 = €1.0992 ; 25.29 ;  ;  EUR 27.80 ;  ; 546.13; Shopping; 
7 Oct 2020 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 571.42; General; 
7 Oct 2020 ; Itunes  ; 5.99 ;  ;  ;  ; 171.42; Shopping; 
7 Oct 2020 ; Cafe 10 FX Rate £1 = €1.0918 ; 24.73 ;  ;  EUR 27.00 ;  ; 177.41; Restaurants; 
5 Oct 2020 ; Itunes  ; 2.99 ;  ;  ;  ; 202.14; Shopping; 
3 Oct 2020 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.1035 ; 32.54 ;  ;  EUR 35.90 ;  ; 205.13; Restaurants; 
3 Oct 2020 ; Gpv Benahavis FX Rate £1 = €1.1006 ; 40.89 ;  ;  EUR 45.00 ;  ; 237.67; Transport; 
2 Oct 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 278.56; General; 
1 Oct 2020 ; What's Cooking? FX Rate £1 = €1.0969 ; 9.94 ;  ;  EUR 10.90 ;  ; 78.56; Restaurants; 
1 Oct 2020 ; Diana-costaspine FX Rate £1 = €1.0987 ; 36.41 ;  ;  EUR 40.00 ;  ; 88.50; Health; 
30 Sep 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 124.91; Shopping; 
29 Sep 2020 ; Wild Café & Restaurante FX Rate £1 = €1.0844 ; 53.49 ;  ;  EUR 58.00 ;  ; 132.90; Restaurants; 
29 Sep 2020 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.0844 ; 28.41 ;  ;  EUR 30.80 ;  ; 186.39; Restaurants; 
28 Sep 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 214.80; General; 
28 Sep 2020 ; sanebox Inc. FX Rate £1 = $1.2760 ; 5.49 ;  ;  USD 7.00 ;  ; 229.79; Shopping; 
27 Sep 2020 ; Diana-costaspine FX Rate £1 = €1.0925 ; 36.62 ;  ;  EUR 40.00 ;  ; 235.28; Health; 
27 Sep 2020 ; Leanpub FX Rate £1 = $1.2715 ; 19.67 ;  ;  USD 25.00 ;  ; 271.90; Shopping; 
24 Sep 2020 ; La Bodega del Mar FX Rate £1 = €1.0859 ; 57.92 ;  ;  EUR 62.90 ;  ; 291.57; Health; 
24 Sep 2020 ; Three  ; 20.00 ;  ;  ;  ; 349.49; Services; 
24 Sep 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 369.49; General; 
23 Sep 2020 ; Chiropractic - Ricardo Ma FX Rate £1 = €1.0871 ; 46.00 ;  ;  EUR 50.00 ;  ; 169.49; Health; 
23 Sep 2020 ; Amazon FX Rate £1 = €1.0799 ; 18.66 ;  ;  EUR 20.15 ;  ; 215.49; Shopping; 
23 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.0873 ; 5.52 ;  ;  EUR 6.00 ;  ; 234.15; Health; 
22 Sep 2020 ; Sidreria Usategui FX Rate £1 = €1.0799 ; 59.27 ;  ;  EUR 64.00 ;  ; 239.67; Restaurants; 
21 Sep 2020 ; Hustle n' Flow Eatery FX Rate £1 = €1.0799 ; 55.56 ;  ;  EUR 60.00 ;  ; 298.94; Restaurants; 
21 Sep 2020 ; Amazon FX Rate £1 = €1.0939 ; 84.03 ;  ;  EUR 91.92 ;  ; 354.50; Shopping; 
21 Sep 2020 ; Amazon FX Rate £1 = €1.0943 ; 22.38 ;  ;  EUR 24.49 ;  ; 438.53; Shopping; 
21 Sep 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 460.91; Shopping; 
21 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.0948 ; 5.49 ;  ;  EUR 6.00 ;  ; 461.70; Health; 
21 Sep 2020 ; Costajump San Pedro FX Rate £1 = €1.0923 ; 15.29 ;  ;  EUR 16.70 ;  ; 467.19; Entertainment; 
20 Sep 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 482.48; General; 
20 Sep 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 282.48; Shopping; 
20 Sep 2020 ; Gym junkie FX Rate £1 = €1.0923 ; 33.88 ;  ;  EUR 37.00 ;  ; 292.47; Restaurants; 
20 Sep 2020 ; Gym junkie FX Rate £1 = €1.0875 ; 7.82 ;  ;  EUR 8.50 ;  ; 326.35; Restaurants; 
18 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.0987 ; 5.47 ;  ;  EUR 6.00 ;  ; 334.17; Health; 
18 Sep 2020 ; Chiropractic - Ricardo Ma FX Rate £1 = €1.0992 ; 36.39 ;  ;  EUR 40.00 ;  ; 339.64; Health; 
18 Sep 2020 ; Supersol Su FX Rate £1 = €1.0990 ; 9.31 ;  ;  EUR 10.23 ;  ; 376.03; Groceries; 
18 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.0831 ; 5.54 ;  ;  EUR 6.00 ;  ; 385.34; Health; 
18 Sep 2020 ; Autopista del Sol FX Rate £1 = €1.0685 ; 3.14 ;  ;  EUR 3.35 ;  ; 390.88; Transport; 
18 Sep 2020 ; San Pedro Del Mar FX Rate £1 = €1.0827 ; 46.52 ;  ;  EUR 50.37 ;  ; 394.02; Transport; 
18 Sep 2020 ; Autopista del Sol FX Rate £1 = €1.0685 ; 3.14 ;  ;  EUR 3.35 ;  ; 440.54; Transport; 
17 Sep 2020 ; Amazon FX Rate £1 = €1.0841 ; 7.47 ;  ;  EUR 8.09 ;  ; 443.68; Shopping; 
17 Sep 2020 ; Comidas Andyan s.l. FX Rate £1 = €1.0685 ; 23.40 ;  ;  EUR 25.00 ;  ; 451.15; Restaurants; 
17 Sep 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 474.55; General; 
14 Sep 2020 ; Payment from Rose Ajw  ;  ; 200.00 ;  ;  ; 274.55; General; TO REVOLUT -LYGU-
